Kommune - sannsynlighet for bosetting (basert pa antall vedtatte flyktninger)
Total (sum av vedtatte tall): 9853
Presisjon: 2 desimaler
--------------------------------------------------------------------------------
Vestland | Fitjar: 0.04%  (vedtatt å bosette: 4)
Østfold | Marker: 0.03%  (vedtatt å bosette: 3)
Agder | Birkenes: 0.00%  (vedtatt å bosette: 0)
Agder | Bykle: 0.00%  (vedtatt å bosette: 0)
Agder | Evje og Hornnes: 0.00%  (vedtatt å bosette: 0)
Agder | Lyngdal: 0.00%  (vedtatt å bosette: 0)
Akershus | Lørenskog: 0.00%  (vedtatt å bosette: 0)
Akershus | Ås: 0.00%  (vedtatt å bosette: 0)
Innlandet | Nord-Odal: 0.00%  (vedtatt å bosette: 0)
Innlandet | Våler: 0.00%  (vedtatt å bosette: 0)
Innlandet | Åsnes: 0.00%  (vedtatt å bosette: 0)
Telemark | Midt-Telemark: 0.00%  (vedtatt å bosette: 0)
Vestland | Ullensvang: 0.00%  (vedtatt å bosette: 0)
Vestland | Ulvik: 0.00%  (vedtatt å bosette: 0)
Østfold | Fredrikstad: 0.00%  (vedtatt å bosette: 0)
Østfold | Halden: 0.00%  (vedtatt å bosette: 0)
